onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D5,D5,1.0
correct,0.2,0.2,0.0,D5,D5,1.0
correct,0.39,0.39,0.0,D5,D5,1.0
correct,0.61,0.61,0.0,D5,D5,1.0
correct,1.25,1.25,0.0,D5,D5,1.0
late,1.44,1.73,-0.29,D5,C5,0.6
correct,1.89,1.89,0.0,C5,C5,1.0
correct,2.08,2.08,0.0,A#/Bb4,A#/Bb4,1.0
correct,2.95,2.95,0.0,A#/Bb4,A#/Bb4,1.0
correct,3.14,3.14,0.0,D5,D5,1.0
correct,3.56,3.56,0.0,D5,D5,1.0
correct,4.0,4.0,0.0,D5,D5,1.0
correct,4.2,4.2,0.0,A#/Bb4,A#/Bb4,1.0
correct,4.42,4.42,0.0,C5,C5,1.0
correct,6.72,6.76,-0.04,A4,A#/Bb4,0.8
early,6.95,6.76,0.19,D#/Eb5,A#/Bb4,0.1
correct,7.17,6.95,0.22,D#/Eb5,D#/Eb5,1.0
correct,7.17,7.17,0.0,D#/Eb5,D#/Eb5,1.0
correct,7.36,7.3,0.06,D#/Eb5,D#/Eb5,1.0
correct,7.78,7.81,-0.03,F5,D#/Eb5,0.6
correct,8.0,8.0,0.0,F5,F5,1.0
correct,8.42,8.42,0.0,C5,C5,1.0
correct,8.84,8.87,-0.03,A#/Bb4,A#/Bb4,1.0
correct,9.7,9.7,0.0,A#/Bb4,A#/Bb4,1.0
late,9.7,9.92,-0.22,A#/Bb4,A#/Bb4,1.0
late,9.89,10.34,-0.45,A#/Bb4,D5,0.2
early,10.34,10.53,-0.19,D5,D5,1.0
late,10.34,10.98,-0.64,D5,A#/Bb4,0.2
late,10.34,11.17,-0.83,D5,A#/Bb4,0.2
missing,10.53,,,D5,,
missing,10.95,,,A#/Bb4,,
missing,11.17,,,A#/Bb4,,
